Student_ID,Course,Department,Year,Year of Joining,Email,First Name,Last Name,Current Address,Per Address,Mobile Number,Land Line,10th,Inter,Eamcet Rank,Sem1,Sem2,Sem3,Sem4,Sem5,Sem6,Sem7,Sem8,Sem1_backlogs,Sem2_backlogs,Sem3_backlogs,Sem4_backlogs,Sem5_backlogs,Sem6_backlogs,Sem7_backlogs,Sem8_backlogs,img_url,achivements,Remarks,Password,Gender
y07cs103,1,1,2011,,sdfads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abc123,
y07cs104,1,1,2011,2001,sdfads,sdaf,dasfas,sdaf,sdaf,sdaf,saf,12,12,12,1,2,12,12,12,12,21,21,12,12,21,21,21,21,12,21,21,1,212121,abc124,
y07cs105,1,1,2011,,sdfads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abc125,
y07cs106,1,1,2011,,sdfads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abc126,
y07cs107,1,1,2011,,sdfads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abc127,
y07cs108,1,1,2011,,sdfads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abc128,
y07cs109,1,1,2011,,sdfads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abc129,
y07cs110,1,1,2011,,sdfads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abc130,
y07cs111,1,1,2011,,sdfads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abc131,
y07cs112,1,1,2011,,sdfads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abc132,
y07cs113,1,1,2011,,sdfads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abc133,
y07cs114,1,1,2011,,sdfads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abc134,
y07cs115,1,1,2011,,sdfads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abc135,
y07cs116,1,1,2011,,sdfads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abc136,
y07cs117,1,1,2011,,sdfads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abc137,
y07cs118,1,1,2011,,sdfads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abc138,
y07cs119,1,1,2011,,sdfads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abc139,
y07cs120,1,1,2011,,sdfads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abc140,
y07cs121,1,1,2011,,sdfads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abc141,
y07cs122,1,1,2011,,sdfads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abc142,
y07cs123,1,1,2011,,sdfads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abc143,
y07cs124,1,1,2011,,sdfads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abc144,
y07cs125,1,1,2011,,sdfads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abc145,
y07cs126,1,1,2011,,sdfads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abc146,
y07cs127,1,1,2011,,sdfads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abc147,
y07cs128,1,1,2011,,sdfads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abc148,
